catalog,field,type,category,title,modified
caid,total_chip_enrollment,total_chip_enrollment,NA,State Medicaid and CHIP Test,2025-06-25
caid,total_chip_enrollment__footnotes,total_chip_enrollment__footnotes,NA,State Medicaid and CHIP Test,2025-06-25
caid,total_adult_medicaid_enrollment,total_adult_medicaid_enrollment,NA,State Medicaid and CHIP Test,2025-06-25
caid,total_adult_medicaid_enrollment__footnotes,total_adult_medicaid_enrollment__footnotes,NA,State Medicaid and CHIP Test,2025-06-25
caid,total_medicaid_and_chip_determinations_processed_in_less_th_1e84,total_medicaid_and_chip_determinations_processed_in_less_th_1e84,NA,State Medicaid and CHIP Test,2025-06-25
caid,total_medicaid_and_chip_determinations_processed_in_less_th_46c2,total_medicaid_and_chip_determinations_processed_in_less_th_46c2,NA,State Medicaid and CHIP Test,2025-06-25
caid,total_medicaid_and_chip_determinations_processed_between_24_756e,total_medicaid_and_chip_determinations_processed_between_24_756e,NA,State Medicaid and CHIP Test,2025-06-25
caid,total_medicaid_and_chip_determinations_processed_between_24_cf22,total_medicaid_and_chip_determinations_processed_between_24_cf22,NA,State Medicaid and CHIP Test,2025-06-25
caid,total_medicaid_and_chip_determinations_processed_between_8__a7a5,total_medicaid_and_chip_determinations_processed_between_8__a7a5,NA,State Medicaid and CHIP Test,2025-06-25
caid,total_medicaid_and_chip_determinations_processed_between_8__e6e5,total_medicaid_and_chip_determinations_processed_between_8__e6e5,NA,State Medicaid and CHIP Test,2025-06-25
caid,total_medicaid_and_chip_determinations_processed_between_31_a42c,total_medicaid_and_chip_determinations_processed_between_31_a42c,NA,State Medicaid and CHIP Test,2025-06-25
caid,total_medicaid_and_chip_determinations_processed_between_31_49fa,total_medicaid_and_chip_determinations_processed_between_31_49fa,NA,State Medicaid and CHIP Test,2025-06-25
caid,total_medicaid_and_chip_determinations_processed_in_more_th_a7ec,total_medicaid_and_chip_determinations_processed_in_more_th_a7ec,NA,State Medicaid and CHIP Test,2025-06-25
caid,total_medicaid_and_chip_determinations_processed_in_more_th_bfce,total_medicaid_and_chip_determinations_processed_in_more_th_bfce,NA,State Medicaid and CHIP Test,2025-06-25
caid,total_call_center_volume_number_of_calls,total_call_center_volume_number_of_calls,NA,State Medicaid and CHIP Test,2025-06-25
caid,total_call_center_volume_number_of_calls__footnotes,total_call_center_volume_number_of_calls__footnotes,NA,State Medicaid and CHIP Test,2025-06-25
caid,average_call_center_wait_time_minutes,average_call_center_wait_time_minutes,NA,State Medicaid and CHIP Test,2025-06-25
caid,average_call_center_wait_time_minutes__footnotes,average_call_center_wait_time_minutes__footnotes,NA,State Medicaid and CHIP Test,2025-06-25
caid,average_call_center_abandonment_rate,average_call_center_abandonment_rate,NA,State Medicaid and CHIP Test,2025-06-25
caid,average_call_center_abandonment_rate__footnotes,average_call_center_abandonment_rate__footnotes,NA,State Medicaid and CHIP Test,2025-06-25
caid,drug_product,drug_product,NA,First Time NADAC Rates,2025-06-23
caid,brief_indicationdescription,brief_indicationdescription,NA,First Time NADAC Rates,2025-06-23
caid,drug_class,drug_class,NA,First Time NADAC Rates,2025-06-23
caid,package_size,package_size,NA,First Time NADAC Rates,2025-06-23
caid,ncpdp_billing_unit_standard,ncpdp_billing_unit_standard,NA,First Time NADAC Rates,2025-06-23
caid,nadac_rate,nadac_rate,NA,First Time NADAC Rates,2025-06-23
caid,number_of_active_ndcs_within_the_rategroup_that_are_on_the__0bb0,number_of_active_ndcs_within_the_rategroup_that_are_on_the__0bb0,ndc,First Time NADAC Rates,2025-06-23
caid,primary_reason_code,primary_reason_code,NA,First Time NADAC Rates,2025-06-23
caid,as_of_date,as_of_date,date,First Time NADAC Rates,2025-06-23
caid,classification_for_rate_setting,classification_for_rate_setting,NA,First Time NADAC Rates,2025-06-23
caid,state_abbreviation,state_abbreviation,state,Monthly Enrollment - Test,2025-05-23
caid,state_name,state_name,state,Monthly Enrollment - Test,2025-05-23
caid,reporting_period,reporting_period,NA,Monthly Enrollment - Test,2025-05-23
caid,state_expanded_medicaid,state_expanded_medicaid,state,Monthly Enrollment - Test,2025-05-23
caid,preliminary_or_updated,preliminary_or_updated,date,Monthly Enrollment - Test,2025-05-23
caid,final_report,final_report,NA,Monthly Enrollment - Test,2025-05-23
caid,new_applications_submitted_to_medicaid_and_chip_agencies,new_applications_submitted_to_medicaid_and_chip_agencies,NA,Monthly Enrollment - Test,2025-05-23
caid,new_applications_submitted_to_medicaid_and_chip_agencies__f_85d7,new_applications_submitted_to_medicaid_and_chip_agencies__f_85d7,NA,Monthly Enrollment - Test,2025-05-23
caid,applications_for_financial_assistance_submitted_to_the_stat_104d,applications_for_financial_assistance_submitted_to_the_stat_104d,NA,Monthly Enrollment - Test,2025-05-23
caid,applications_for_financial_assistance_submitted_to_the_stat_c640,applications_for_financial_assistance_submitted_to_the_stat_c640,NA,Monthly Enrollment - Test,2025-05-23
caid,total_applications_for_financial_assistance_submitted_at_st_d6fa,total_applications_for_financial_assistance_submitted_at_st_d6fa,NA,Monthly Enrollment - Test,2025-05-23
caid,total_applications_for_financial_assistance_submitted_at_st_9919,total_applications_for_financial_assistance_submitted_at_st_9919,NA,Monthly Enrollment - Test,2025-05-23
caid,individuals_determined_eligible_for_medicaid_at_application,individuals_determined_eligible_for_medicaid_at_application,NA,Monthly Enrollment - Test,2025-05-23
caid,individuals_determined_eligible_for_medicaid_at_application_4f96,individuals_determined_eligible_for_medicaid_at_application_4f96,NA,Monthly Enrollment - Test,2025-05-23
caid,individuals_determined_eligible_for_chip_at_application,individuals_determined_eligible_for_chip_at_application,NA,Monthly Enrollment - Test,2025-05-23
caid,individuals_determined_eligible_for_chip_at_application__fo_e28a,individuals_determined_eligible_for_chip_at_application__fo_e28a,NA,Monthly Enrollment - Test,2025-05-23
caid,total_medicaid_and_chip_determinations,total_medicaid_and_chip_determinations,NA,Monthly Enrollment - Test,2025-05-23
caid,total_medicaid_and_chip_determinations__footnotes,total_medicaid_and_chip_determinations__footnotes,NA,Monthly Enrollment - Test,2025-05-23
caid,medicaid_and_chip_child_enrollment,medicaid_and_chip_child_enrollment,NA,Monthly Enrollment - Test,2025-05-23
caid,medicaid_and_chip_child_enrollment__footnotes,medicaid_and_chip_child_enrollment__footnotes,NA,Monthly Enrollment - Test,2025-05-23
caid,total_medicaid_and_chip_enrollment,total_medicaid_and_chip_enrollment,NA,Monthly Enrollment - Test,2025-05-23
caid,total_medicaid_and_chip_enrollment__footnotes,total_medicaid_and_chip_enrollment__footnotes,NA,Monthly Enrollment - Test,2025-05-23
caid,total_medicaid_enrollment,total_medicaid_enrollment,NA,Monthly Enrollment - Test,2025-05-23
caid,total_medicaid_enrollment__footnotes,total_medicaid_enrollment__footnotes,NA,Monthly Enrollment - Test,2025-05-23
caid,total_chip_enrollment,total_chip_enrollment,NA,Monthly Enrollment - Test,2025-05-23
caid,total_chip_enrollment__footnotes,total_chip_enrollment__footnotes,NA,Monthly Enrollment - Test,2025-05-23
caid,total_adult_medicaid_enrollment,total_adult_medicaid_enrollment,NA,Monthly Enrollment - Test,2025-05-23
caid,total_adult_medicaid_enrollment__footnotes,total_adult_medicaid_enrollment__footnotes,NA,Monthly Enrollment - Test,2025-05-23
caid,total_medicaid_and_chip_determinations_processed_in_less_th_1e84,total_medicaid_and_chip_determinations_processed_in_less_th_1e84,NA,Monthly Enrollment - Test,2025-05-23
caid,total_medicaid_and_chip_determinations_processed_in_less_th_46c2,total_medicaid_and_chip_determinations_processed_in_less_th_46c2,NA,Monthly Enrollment - Test,2025-05-23
caid,total_medicaid_and_chip_determinations_processed_between_24_756e,total_medicaid_and_chip_determinations_processed_between_24_756e,NA,Monthly Enrollment - Test,2025-05-23
caid,total_medicaid_and_chip_determinations_processed_between_24_cf22,total_medicaid_and_chip_determinations_processed_between_24_cf22,NA,Monthly Enrollment - Test,2025-05-23
caid,total_medicaid_and_chip_determinations_processed_between_8__a7a5,total_medicaid_and_chip_determinations_processed_between_8__a7a5,NA,Monthly Enrollment - Test,2025-05-23
caid,total_medicaid_and_chip_determinations_processed_between_8__e6e5,total_medicaid_and_chip_determinations_processed_between_8__e6e5,NA,Monthly Enrollment - Test,2025-05-23
caid,total_medicaid_and_chip_determinations_processed_between_31_a42c,total_medicaid_and_chip_determinations_processed_between_31_a42c,NA,Monthly Enrollment - Test,2025-05-23
caid,total_medicaid_and_chip_determinations_processed_between_31_49fa,total_medicaid_and_chip_determinations_processed_between_31_49fa,NA,Monthly Enrollment - Test,2025-05-23
caid,total_medicaid_and_chip_determinations_processed_in_more_th_a7ec,total_medicaid_and_chip_determinations_processed_in_more_th_a7ec,NA,Monthly Enrollment - Test,2025-05-23
caid,total_medicaid_and_chip_determinations_processed_in_more_th_bfce,total_medicaid_and_chip_determinations_processed_in_more_th_bfce,NA,Monthly Enrollment - Test,2025-05-23
caid,total_call_center_volume_number_of_calls,total_call_center_volume_number_of_calls,NA,Monthly Enrollment - Test,2025-05-23
caid,total_call_center_volume_number_of_calls__footnotes,total_call_center_volume_number_of_calls__footnotes,NA,Monthly Enrollment - Test,2025-05-23
caid,average_call_center_wait_time_minutes,average_call_center_wait_time_minutes,NA,Monthly Enrollment - Test,2025-05-23
caid,average_call_center_wait_time_minutes__footnotes,average_call_center_wait_time_minutes__footnotes,NA,Monthly Enrollment - Test,2025-05-23
caid,average_call_center_abandonment_rate,average_call_center_abandonment_rate,NA,Monthly Enrollment - Test,2025-05-23
caid,average_call_center_abandonment_rate__footnotes,average_call_center_abandonment_rate__footnotes,NA,Monthly Enrollment - Test,2025-05-23
caid,implementation_year,implementation_year,date,Medicaid Enterprise System Datatable,2025-05-21
caid,policyupdate_type,policyupdate_type,date,Medicaid Enterprise System Datatable,2025-05-21
caid,policyupdate_title,policyupdate_title,date,Medicaid Enterprise System Datatable,2025-05-21
caid,potential_mes_impact,potential_mes_impact,NA,Medicaid Enterprise System Datatable,2025-05-21
caid,statute_or_regulation_citation,statute_or_regulation_citation,NA,Medicaid Enterprise System Datatable,2025-05-21
caid,compliance_month,compliance_month,date,Medicaid Enterprise System Datatable,2025-05-21
caid,compliance_day,compliance_day,NA,Medicaid Enterprise System Datatable,2025-05-21
caid,type_of_potential_system_impact,type_of_potential_system_impact,NA,Medicaid Enterprise System Datatable,2025-05-21
caid,category_of_potential_impact,category_of_potential_impact,NA,Medicaid Enterprise System Datatable,2025-05-21
caid,link_to__source_document,link_to__source_document,NA,Medicaid Enterprise System Datatable,2025-05-21
caid,impact_to_medicaid_chip_andor_bhp,impact_to_medicaid_chip_andor_bhp,NA,Medicaid Enterprise System Datatable,2025-05-21
caid,tshirt_size,tshirt_size,NA,Medicaid Enterprise System Datatable,2025-05-21
caid,certification_activities_required,certification_activities_required,NA,Medicaid Enterprise System Datatable,2025-05-21
caid,labeler_name,labeler_name,NA,Drug AMP Reporting - Monthly,2025-05-09
caid,ndc,ndc,ndc,Drug AMP Reporting - Monthly,2025-05-09
caid,fda_product_name,fda_product_name,NA,Drug AMP Reporting - Monthly,2025-05-09
caid,status,status,NA,Drug AMP Reporting - Monthly,2025-05-09
caid,year,year,date,Drug AMP Reporting - Monthly,2025-05-09
caid,month,month,date,Drug AMP Reporting - Monthly,2025-05-09
caid,year,year,date,Drug Products in the Medicaid Drug Rebate Program,2025-05-07
